"ASOCIACION","ACTIVIDAD","SUBVENCION EN EUROS"
"AMPA VALDELAPARRA","EL HUERTO","73"
"AMPA VALDELAPARRA","FIESTA GRADUACION","668"
"AMPA VALDELAPARRA","FERIA ASOCIACIONES","87"
"AMPA VALDELAPARRA","CARNAVAL 2015","98"
"AMPA VALDELAPARRA","SAN ISIDRO","205"
"AMPA VALDELAPARRA","QUERIDOS REYES MAGOS","596.31"
"AMPA RIVENDEL","SEMANA CULTURAL Y DIA DEL LIBRO","641.51"
"AMPA RIVENDEL","VISITA GRANJA ESCUELA","410"
"AMPA RIVENDEL","DIA DE LA PAZ","186"
"AMPA RIVENDEL","DIA DE LA INFANCIA","200"
"AMPA RIVENDEL","FIESTA FIN DE CURSO","704"
"AMPA RIVENDEL","PERTENENCIA A LA FAPA","64"
"AMPA RIVENDEL","CARNAVAL","131.31"
"AMPA RIVENDEL","FIESTA DE NAVIDAD","80"
"AMPA AGORA","PREMIOS AL RENDIMIENTO, SUPERACIÓN Y CONVICENCIA","528.94"
"AMPA AGORA","ANIMACION A LA LECTURA","560"
"AMPA AGORA","SALIDA AL TEATRO","240"
"AMPA AGORA","EXCURSION CULTURAL","120"
"AMPA AGORA","CONCURSO FOTOGRAFICO CONSTITUCION","280"
"AMPA AGORA","ACTO DE GRADUACIÓN","240"
"AMPA AGORA","INTERCAMBIO DE LIBROS DE TEXTO","80"
"AMPA AGORA","JORNADA DE CONVIVENCIA","280"
"AMPA ALDEBARAN","PREMIOS AL RENDIMIENTO, SUPERACIÓN Y CONVIVENCIA","1000"
"AMPA ALDEBARAN","ANIMACION A LA LECTURA","280"
"AMPA ALDEBARAN","PRACTICANDO IDIOMAS","259.48"
"AMPA ALDEBARAN","CONCURSO DE TARJETAS NAVIDEÑAS","160"
"AMPA ALDEBARAN","GRADUACION ALUMNOS BACHILLER","200"
"AMPA ALDEBARAN","BOLETIN INFORMATIVO","504"
"AMPA ALDEBARAN","PARTICIPACION EN FAPAS","220"
"AMPA ALDEBARAN","TORNEO DEPORTIVO ANUAL ","57"
"AMPA GINER DE LOS RIOS","CERTAMEN TARJETA NAVIDAD","823.55"
"AMPA GINER DE LOS RIOS","CERTAMEN DE RELATO Y POESIA","390"
"AMPA GINER DE LOS RIOS","BIBLIOTECA LIBROS LECTURA INGLES","290"
"AMPA GINER DE LOS RIOS","TALLER PERCUSION","320"
"AMPA GINER DE LOS RIOS","CERTAMEN ENSAYO FILOSOFICO RAQUEL PUSZKIN","140"
"AMPA GINER DE LOS RIOS","CERTAMEN RELATOS ALEMAN","130"
"AMPA GINER DE LOS RIOS","CERTAMEN POETICO EN LENGUA INGLESA","100"
"AMPA GINER DE LOS RIOS","CEREMONIA GRADUACION BACHILLERATO","290"
"AMPA GINER DE LOS RIOS","LIBRO DE RELATO Y POESIAS","390"
"AMPA GINER DE LOS RIOS","PARTICIPACION FAPA ALCOBENDAS Y FAPA MADRID","270"
"AMPA GINER DE LOS RIOS","BOLETIN ANUAL ATIVIDADES AMPA","240"
"AMPA SEVERO OCHOA","TALLER DE MOTIVACION Y AUTOESTIMA","309.61"
"AMPA SEVERO OCHOA","TALLER DE TECNICAS DE ESTUDIO","140"
"AMPA SEVERO OCHOA","EXPOSICION Y EDICION ALBUM EEUU","609"
"AMPA SEVERO OCHOA","INTERCAMBIO FRANCIA Y EXPOSICION","60"
"AMPA SEVERO OCHOA","OCIO EN FAMILIA","876"
"AMPA SEVERO OCHOA","GRADUACION CICLOS Y BACHILLERATOS","376"
"AMPA SEVERO OCHOA","CAPTACION NUEVOS SOCIOS Y DIFUSION DEL PROYECTO","912"
"AMPA SEVERO OCHOA","TORNEO DE AJEDREZ","57"
"AMPA VIRGEN DE LA PAZ","JORNADA LUDICO EDUCATIVA FIN DE CURSO","942.92"
"AMPA VIRGEN DE LA PAZ","JORNADA 30 ANIVERSARIO + ACTO GRADUACION","209"
"AMPA VIRGEN DE LA PAZ","DIFUSION E INFORMACION 30 ANIVERSARIO","232"
"AMPA VIRGEN DE LA PAZ","RECRE-JORNADAS DEPORTIVAS","198"
"AMPA GREENWICH SCHOOL","CONCURSO VIRGEN DE LA PAZ","175.55"
"AMPA GREENWICH SCHOOL","EXCURSION ATAPUERCA","1518"
"AMPA GREENWICH SCHOOL","CONCURSO DE NAVIDAD","350"
"AMPA GREENWICH SCHOOL","TEATRO EN FAMILIA","170.95"
"AMPA GREENWICH SCHOOL","VISITA AL TEATRO REAL","165"
"AMPA SAN ANTONIO","ZOO AQUARIUM DE MADRID","1000"
"AMPA SAN ANTONIO","VISITA A LA CAÑADA REAL","897.4"
"AMPA SAN ANTONIO","FIESTA FIN DE CURSO","80"
"AMPA PADRE MANYANET","FERIA DE LA SEMANA CULTURAL","800"
"AMPA PADRE MANYANET","FERIA ROBOTICA","720"
"AMPA PADRE MANYANET","BIBLIOTECA INGLES ESO","808.94"
"AMPA FAPA","JORNADA FAPA-AMPAS: ENCUENTROS DE PARTICIPACION","760"
"AMPA FAPA","REVISTA DE LA FEDERACION ""LA ESCUELA EN ALCOBENDAS""","1040"
"AMPA FAPA","CONCURSO FOTOGRAFIA ""TE VEO LEER…EN ALCOBENDAS""","800"
"AMPA FAPA","EXPOSICION FOTOGRAFICA TRABAJOS CONCURSO","344.13"
